last_name, first_name,bat_side,year,b_ab,batting_avg,slg_percent,b_game,xba,xslg,woba,xwoba,xbadiff,xslgdiff,wobadif
Swanson,Dansby,R,2018,478,0.238,0.395,136,0.231,0.365,0.293,0.285,0.007,0.03,0.008
Taylor,Chris,R,2018,536,0.254,0.444,155,0.245,0.42,0.335,0.33,0.009,0.024,0.005
Wendle,Joey,L,2018,487,0.3,0.435,139,0.264,0.378,0.338,0.312,0.036,0.057,0.026
Olson,Matt,L,2018,580,0.247,0.453,162,0.252,0.497,0.34,0.36,-0.005,-0.044,-0.02
Duffy,Matt,R,2018,503,0.294,0.366,132,0.275,0.363,0.323,0.32,0.019,0.003,0.003
Margot,Manuel,R,2018,477,0.245,0.384,141,0.26,0.383,0.288,0.305,-0.015,0.001,-0.017
Camargo,Johan,S,2018,464,0.272,0.457,134,0.239,0.379,0.346,0.312,0.033,0.078,0.034
Conforto,Michael,L,2018,543,0.243,0.448,153,0.246,0.436,0.342,0.346,-0.003,0.012,-0.004
Anderson,Tim,R,2018,567,0.24,0.406,153,0.228,0.367,0.294,0.28,0.012,0.039,0.014
Bellinger,Cody,L,2018,557,0.26,0.47,162,0.242,0.439,0.345,0.332,0.018,0.031,0.013
Mancini,Trey,R,2018,582,0.242,0.416,156,0.257,0.445,0.308,0.336,-0.015,-0.029,-0.028
Rosario,Amed,R,2018,554,0.256,0.381,154,0.26,0.375,0.29,0.296,-0.004,0.006,-0.006
Benintendi,Andrew,L,2018,579,0.29,0.465,148,0.286,0.461,0.357,0.361,0.004,0.004,-0.004
Albies,Ozzie,S,2018,639,0.261,0.452,158,0.253,0.411,0.324,0.311,0.008,0.041,0.013
Chapman,Matt,R,2018,547,0.278,0.508,145,0.26,0.44,0.369,0.343,0.018,0.068,0.026
Hoskins,Rhys,R,2018,558,0.246,0.496,153,0.234,0.463,0.364,0.354,0.012,0.034,0.01
Schwarber,Kyle,L,2018,428,0.238,0.467,137,0.245,0.473,0.343,0.352,-0.007,-0.006,-0.009
Moncada,Yoan,S,2018,578,0.235,0.4,149,0.216,0.388,0.311,0.303,0.019,0.012,0.008
